"NRO_PROY","LIDER_PROY","COORD_CART_PROY","COD_LOC","COD_MOD","DET_COD_MOD","NOMB_IE","REGION","DEPARTAMENTO","PROVINCIA","DISTRITO","UBIGEO","UGEL","CUI","NOMB_PROY","COOR_WGS_ESTE","COOR_WGS_OESTE","FECHA_VIAB","COS_INV_PRE","PIM_2022","LATITUD","LONGITUD","CARTERA","NRO_PAQ","PAQUETE","BENEF_PRE","CAT_IE","CANT_AULA","SFL","FECHA_CORTE"
"37","DENISSE HERRERA","GINO ZEVALLOS","319140","1054113","	Secundaria","","LIMA","LIMA","LIMA","PUENTE PIEDRA","150125","UGEL 04","2475360","","270100","8690083","20191230","36,145,682","20,860,887","-11.84168825","-77.11024083","CARTERA II","Paquete 1","LIMA NORTE 01","1948","COSTA","38","AFECTADO EN USO","20220520"
"38","OMAR CANDIOTTI","FRANZ SALAZAR","324504","518647","Primaria","","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475306","","280709.39","8674016.72","20191230","21,765,847","15,601,386","-11.98760075","-77.01397101","CARTERA III","Paquete 2","LIMA 02","1455","COSTA","24","PROPIEDAD","20220520"
"38","OMAR CANDIOTTI","FRANZ SALAZAR","324504","900704","	Secundaria","","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475306","","280709.39","8674016.72","20191230","21,765,847","15,601,386","-11.98760075","-77.01397101","CARTERA III","Paquete 2","LIMA 02","1455","COSTA","24","PROPIEDAD","20220520"
"39","WILLIAMS SANCHEZ","FRANZ SALAZAR","325264","643049","","I.E. FRANCISCO BOLOGNESI CERVANTES","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475527","","281720.21","8676507.99","20200102","55,561,178","32,502,939","-11.96515165","-77.00452548","CARTERA III","Paquete 2","LIMA 02","3044","COSTA","68","AFECTADO EN USO","20220520"
"39","WILLIAMS SANCHEZ","FRANZ SALAZAR","325264","632208","","I.E. FRANCISCO BOLOGNESI CERVANTES","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475527","","281720.21","8676507.99","20200102","55,561,178","32,502,939","-11.96515165","-77.00452548","CARTERA III","Paquete 2","LIMA 02","3044","COSTA","68","AFECTADO EN USO","20220520"
"39","WILLIAMS SANCHEZ","FRANZ SALAZAR","325264","642892","	Secundaria","I.E. FRANCISCO BOLOGNESI CERVANTES","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475527","","281720.21","8676507.99","20200102","55,561,178","32,502,939","-11.96515165","-77.00452548","CARTERA III","Paquete 2","LIMA 02","3044","COSTA","68","AFECTADO EN USO","20220520"
"39","WILLIAMS SANCHEZ","FRANZ SALAZAR","325264","556241","Primaria","I.E. FRANCISCO BOLOGNESI CERVANTES","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475527","","281720.21","8676507.99","20200102","55,561,178","32,502,939","-11.96515165","-77.00452548","CARTERA III","Paquete 2","LIMA 02","3044","COSTA","68","AFECTADO EN USO","20220520"
"39","WILLIAMS SANCHEZ","FRANZ SALAZAR","325264","1535566","","I.E. FRANCISCO BOLOGNESI CERVANTES","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475527","","281720.21","8676507.99","20200102","55,561,178","32,502,939","-11.96515165","-77.00452548","CARTERA III","Paquete 2","LIMA 02","3044","COSTA","68","AFECTADO EN USO","20220520"
"40","CARLOS SOTO","FRANZ SALAZAR","324882","703124","Primaria","","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2480865","","285316","8679511","20200213","38,554,226","16,562,494","-11.93824421","-76.97132162","CARTERA III","Paquete 2","LIMA 02","2073","COSTA","44","AFECTADO EN USO","20220520"
"40","CARLOS SOTO","FRANZ SALAZAR","324882","778795","	Secundaria","","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2480865","","285316","8679511","20200213","38,554,226","16,562,494","-11.93824421","-76.97132162","CARTERA III","Paquete 2","LIMA 02","2073","COSTA","44","AFECTADO EN USO","20220520"
